name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
DOLOMOL,1 g,Tableta,TABLETA,Caja Envase Blíster Tabletas
DOLOMYCIN FORTE,50 mg + 500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLONET,200 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blandas
DOLONET FORTE,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsulas Blandas
DOLOPARAMIDOL,50 mg + 500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DOLOPARAMIDOL,50 mg + 500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Tabletas
DOLOPARAMIDOL NF,500 mg + 150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
DOLOPAT,75 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLOPAT,150 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLOPLUS MIORELAX,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DOLOPRALAN GEL,1%,Gel,JALEA,Caja Tubo x 20 g
DOLOPRALAN GEL,1%,Gel,JALEA,Caja Tubo x 40 g
DOLOPRESS,50 mg,Tableta Recubierta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas Recubierta de Liberación Retardada
DOLO-QUIMAGESICO,1%,Aerosol Tópico,AEROSOL,Frasco Aerosol x 85 mL.
DOLO-QUIMAGESICO VIT,,Cápsula,CAPSULA,Caja Envase Folio Cápsula
DOLO-QUIMAGESICO VIT,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLORAL,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLORAL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco X 60 mL
DOLORAL,200 mg,Tableta,TABLETA,Caja Dispensadora Envase Blister Tabletas
DOLORAL,5 %,Gel,JALEA,Tubo X 20 g
DOLORAL,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DOLORAL,40 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero X 15 mL
DOLORAL® FORTE,200 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
DOLORELIEF 150,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLORELIEF 300,300 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLORELIEF 75,75 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOLORIT,15 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
DOLORLESS,500 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLORLESS REXAL,300 mg + 250 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLORO,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLORO,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DOLOSAR,5 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja vial x 5 mL
DOLOSAR,50 mg/ 10 mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
DOLOSAR,50 mg/10 mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
DOLOSCIENS,100 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas
DOLOSIN,1 %,Gel,JALEA,Caja Tubo x 50 g
DOLOSPORT,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOLOTERALGEX,2 %,Gel,JALEA,Caja Tubo x 50 g
DOLOTREN,75 mg/ 3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLOTREN,1 %,Gel,JALEA,Caja Tubo x 60 g
DOLOTREN,75 mg/3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DOLOTREN,100 mg,Supositorio,SUPOSITORIO,Caja Envase Blister Supositorios
DOLOTREN,50 mg,Comprimido Gastrorresistente,TABLETA,Caja Envase Blíster Comprimidos
DOLOTREN RETARD,100 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsulas
DOLOTRINEURAL R,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DOLOX FORTE,1000 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DOLOX MIGRAÑA,250 mg + 250 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DOLPROFEN,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Capsulas Blandas
DOLTEN,400 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
DOLTEN INFANTIL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
DOLWIL,100 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
DOLXICAM,15 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
DOMINIUM,50 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DOMINIUM,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DOMINIUM,50 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
DOMINIUM,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
DOMPERIDONA,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOMPERIDONA,10 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DON GRIPPA,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DONAFAN FORTE,2 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DONAFORTE,2 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DONAFORT-L,2 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DONALAB 2,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DONAMED F,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DONAMEDICAL,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DONAMEICAL,2 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DONAMIN,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DONAPHARM,2 mg,Tableta,TABLETA,Caja Envase Blister Tableta
DONAPHARM,2 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DONAPHARM,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DONATAP FORTE,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DONATAXEL 20,20 mg,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 0.5 mL (Concentrado) + Vial x 1.83 mL (Solvente)
DONECIL,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DONNEZ,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DONNEZ,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DONY FAN,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOPAMINA,200 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
DOPAMINA,40 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
DOPAMINA,200 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
DOPAMINA CLORHIDRATO,200 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
DOPECIL 10,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido
DOPECIL 5,5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
DOPROX,550 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
DORALIV,125 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DORALIV,125 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DORAXOL®,300 mg + 250 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DORELIN,100 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120 mL + accesorio
DORIT,200 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DORITA 28,0.15 mg + 0.03 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster x 28 Tableta Recubierta
DORIXINA,125 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierta
DORIXINA,5 %,Gel,JALEA,Caja Tubo x 50 g
DORIXINA,125 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DORIXINA B1 B6 B12,,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DORIXINA B1 B6 B12,,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
DORIXINA B1 B6 B12,,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubierto
DORIXINA RELAX,450 mg + 35 mg,Comprimido,TABLETA,Caja Envase Blister Comprimido
DORIXINA RELAX,125 mg + 5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
DORIXINA RELAX .,,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
DORIXINA RELAX .,125 mg + 5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DORLIP,2 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero X 5 mL
DORLIP-T,4 mg + 5 mg/mL,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
DORMEX,7.5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
DORMEX,7.5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DORMIDINA,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
DORMONID,15 mg/ 3mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DORMONID,50 mg/ 10mL,Solución Inyectable,INYECTABLE,Caja Ampollas x 10 mL
DORMONID,15 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubierto
DORMONID,5 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
DORMONID,5 mg/5mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
DORMONID,15 mg/ 3 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 3 mL
DORMONID,50 mg/10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
DORMONID,50 mg/10 mL,Solución Inyectable,INYECTABLE,Caja Ampollas x 10 mL
DORMONID,15 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DORSOF,2%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5mL
DORSOF,2 %,Solución Oftálmica,SOLUCION OFTALMICA,Frasco X 5 mL
DORSOF T,,Solución Oftálmica,SOLUCION OFTALMICA,Frasco X 5 mL
DORTIM,,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 6 mL
DORZATIM,2.0 % + 0.5 %,Suspensión Oftálmica,SUSPENSION OFTALMICA,Caja Frasco Gotero x 5 mL
DOSTEIN,300 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOSTEIN,175 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 30 mL
DOSTEIN,175 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 90 mL
DOSTINEX,0.5 mg,Tableta,TABLETA,Caja Frasco Tableta
DOSTINEX,0.5 mg,Tableta,TABLETA,Caja Envase Blíster Comprimidos
DOTRASYN,25 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco x 120 mL
DOTRASYN,25 mg/ 5 mL,Suspensión Ótica,SUSPENSION,Caja Frasco x 120 mL
DOWALL´S,415 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 150 mL
DOWALL´S,415 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 150 mL
DOWALL´S -SABOR A TUTTI FRUTTI,415 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 150 mL
DOXALIV,500 mg + 50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubiertas
DOXAZIN,4 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tableta Recubierta de Liberación Prolongada
DOXCIL,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXET,30 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blíster Cápsula de Liberación Retardada
DOXET,60 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blíster Cápsula de Liberación Retardada
DOXIAC,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXIBAC 100MG,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXICAPS,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOXICAPS-100,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXICICLINA,100 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
DOXICICLINA,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOXICICLINA,100 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DOXICICLINA,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXICICLINA,100 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
DOXICICLINA HICLATO,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXICLIN,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXIFAST,100 mg,Cápsula,CAPSULA,Caja Envase Blister Capsulas
DOXIFAST,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOXILOR,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOXILYD 10,10 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial X 10 mL
DOXILYD 50,50 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
DOXIMEC,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXIMEC,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
DOXIMED,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXIMETIC,10 mg + 10 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsulas
DOXIORAL,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOXIPLUS,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXIPROCT,,Pomada,UNGUENTO,Caja Tubo x 12 g
DOXIPROCT,,Pomada,UNGUENTO,Caja Tubo X 30 g
DOXIPROCT PLUS,4 g + 2 g + 0.025 g,Pomada,UNGUENTO,Caja Tubo X 12 g + Accesorio
DOXIPROCT PLUS,4 g + 2 g + 0.025 g,Pomada,UNGUENTO,Caja Tubo X 30 g
DOXIPROCT PLUS,"4 g + 2 g + 0,025 g",Pomada,UNGUENTO,Caja Tubo x 30 g
DOXIPROCT PLUS,"4 g + 2 g + 0,025 g",Pomada,UNGUENTO,Caja Tubo x 12 g
DOXIPROCT PLUS,,Pomada,UNGUENTO,Caja Tubo x 30 g
DOXIUM 500,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXIVRIX,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DOXOPEG,2 mg/mL,Suspensión Inyectable,INYECTABLE,Caja Vial
DOXORUBICINA,20 mg/10 mL,Concentrado para Solución para Perfusión,INYECTABLE,Vial X 10 mL
DOXORUBICINA,50 mg,Polvo para Solución Inyectable,INYECTABLE,Caja vial
DOXORUBICINA,10 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
DOXORUBICINA CLORHIDRATO,10 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
DOXORUBICINA CLORHIDRATO,50 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
DOXORUBICINA CLORHIDRATO,10 mg/ 5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 5 mL
DOXORUBICINA CLORHIDRATO,200 mg/ 100 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 100 mL
DOXORUBICINA CLORHIDRATO,50 mg/ 25 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 25 mL
DOXORUBICINA CLORHIDRATO,50 mg/25 mL,Solución Inyectable,INYECTABLE,Caja Vial
DOXY 100,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOXY 100 LG,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DOXYCAPS,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
DOZIL-10,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DOZIL-5,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
D-PENIL,250 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DR. FLU,,Cápsula Blanda,CAPSULA,Caja Envase Blister Capsulas
DRALITEM,20 mg,Cápsula,CAPSULA,Caja Frasco Cápsulas
DRALITEM,100 mg,Cápsula,CAPSULA,Caja Frasco Cápsulas
DRALITEM,250 mg,Cápsula,CAPSULA,Caja Frasco Cápsulas
DRIKEN,50 mg,POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,INYECTABLE,Caja Vial x 10 mL
DRIKEN,70 mg,POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,INYECTABLE,Caja Vial
DRINEXIN 60,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DRINEXIN 60,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DRINEXIN100,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
DROCADIND,1 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial x 1 mL
DROKSE,150 mg/mL,Suspensión Inyectable,INYECTABLE,Caja Vial
DROKSE 3,150 mg/ mL,Suspensión Inyectable,INYECTABLE,Caja Vial x 1mL
DROLOQUIN,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DRONAVAL,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
DROPERIDOL,5 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
DROPSTAR,0.4%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 10 mL
DROPSTAR,0.4 %,Solución Oftálmica,SOLUCION OFTALMICA,Frasco X 10 mL
DROPSTAR,0.4 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 10 mL
DROXAMIDA,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DROXILAR,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DROXILAR,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
DROXILAR,250 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 60 mL
DROXILAR AB,250 mg + 30 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 60 mL
DROXILAR AB,500 mg + 30 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DROXILAR AB,250 mg + 30 mg/ 5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DUALEX,0.5 mg + 0.4 mg,Capsula dura,CAPSULA,Caja Frasco x 30 Cápsulas Duras
DUALMIDA 100,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DUALMIDA 150,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DUALMIDA 200,200 mg,Tableta Recubierta,TABLETA,CAJA X 30
DUALMIDA 50,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DUCLONEX,150 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
DUCLONEX,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DULCOALIV,5 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tableta de Liberación Retardada
DULCOALIV,5 mg,Tableta Recubierta de Liberación Retardada,TABLETA,Caja Envase Blíster Tableta de Liberación Prolongada
DULCOLAX,5 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tabletas de Liberación Retardada
DULCOLAX,5 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas de Liberación Retardada
DULCOLAX,5 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas
DULERGINA,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 100 mL
DULOBAL-30,30 mg,CAPSULA GASTRORRESISTENTE,CAPSULA,Caja Envase Blister Cápsula
DULOBAL-60,60 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DULXAMIN,5 mg,Comprimido Gastrorresistente,TABLETA,Caja Envase Blister Comprimido Gastrorresistente
DUO CVP-K,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DUO VAL,30 mg + 2 mg,Jarabe,SOLUCION,Frasco x 120 mL
DUO VENTIMAX ECO,100 µg + 50 µg/Dosis,Aerosol para Inhalación,AEROSOL,Caja Frasco X 200 Dosis
DUO VENTIMAX ECO AEROSOL,100 mcg + 50 mcg,Suspensión para Inhalación en envase a presión,AEROSOL,Caja Frasco x 200 Dosis
DUO-BRONCOL,250 mg + 4 mg/ 5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco x 60 mL
DUO-BRONCOL,250 mg + 4 mg /5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DUODART,0.5 mg + 0.4 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DUOMO,4 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimido
DUORELAX,300 mg + 250 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DUOTRAV,40 µg + 5 mg/mL,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 2.5 mL
DUOTRAV,40 ug + 5 mg/ mL,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 2.5 mL
DUOTRIM-B,(200 mg + 40 mg + 50 mg)/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 100 mL + Accesorio
DUOTRIM-B BALSAMICO,800 mg + 160 mg + 200 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
DUOTRIM-F,800 mg + 160 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
DUOZAL,325 mg + 37.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
DUPASMOL,40 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DUPHASTON,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DUPIRINA,100 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
DURACEF,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DURACEF,250 mg/ 5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
DURALGINA FUERTE,60 mg + 300 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DURART 600,600 mg,Tableta Recubierta,TABLETA,Caja Frasco x 60 Tabletas Recubiertas
DURASIL,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DURASIL,60 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
DURASTIN 30,30 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DURASTIN 60,60 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DURATOCIN,100 µg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
DURECTAL 50,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
DURECTAL®100,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
DUROGESIC D TRANS,50 µg/h,Parche Transdérmico,PARCHE,Caja Parche
DUROGESIC D TRANS,25 µg/h,Parche Transdérmico,PARCHE,Caja Parche
DUROGESIC D-TRANS,25 µg/ h,Parche Transdérmico,PARCHE,Caja Bolsa
DUROGESIC D-TRANS,50 µg/ h,Parche Transdérmico,PARCHE,Caja Bolsa
DUSPATALIN RETARD,200 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blíster Cápsula de Liberación Prolongada
DUSPATALIN RETARD,200 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsulas
DUSTALOX,0.5%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
DUSTATRIG,0.5 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Capsula Blanda
DUTAMSUVITAE,"0,5 mg + 0,4 mg",Capsula dura,CAPSULA,Caja Envase Folio Cápsula
DUTARIDE,0.5 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsula Blanda
DUTARIDE,0.5 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
DUTASVITAE,0.5 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Capsula Blanda
DUZELA 30,30 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blíster Cápsula de Liberación Retada
DUZELA 30,30 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsula de Liberación Retardada
DUZELA 30,30 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsulas
DUZELA 60,60 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsulas
DUZELA 60,60 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsula de Liberación Retardada
DUZELA 60,60 mg,Cápsula de Liberación Retardada,CAPSULA,Caja envase Blíster Cápsula de liberacion retardada
DUZELA LR,30 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsula de Liberación Retardada
DUZELA LR,60 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Cápsula de Liberación Retardada
DUZELAST,137 mcg/ 50 mcg,Suspensión para Pulverización NasaL,SUSPENSION NASAL,Caja Envase Aerosol x 120 dosis
DXA FOUR,4 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
DYCLOBIOT,250 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 60 mL
DYCLOBIOT,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
DYCLOBIOT,500 mg,Cápsula,CAPSULA,Caja Dispensadora Envase Blister Cápsulas
DYNAMOGEN,,Solución Oral,SOLUCION,Caja Ampollas bebibles x 10 mL
DYNAPAR AQ,75 mg/ 1 mL,Solución Inyectable,INYECTABLE,Caja Ampollas x 1 mL
DYNAPAR SR 100,100 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blister Tableta Recubierta de Liberación Prolongadaa
DYNAPAR SR 100,100 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blister Tableta Recubierta de Liberación Prolongada
DYNASTAT,40 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Ampolla Solvente x 2 mL
DYNASTAT,40 mg,Polvo para Solución Inyectable,INYECTABLE,Vial + Solvente
